Player,Team,Conference,Month,Year,Award,in
Paul Pierce,Boston Celtics,East,April,2002,NBA Player Of The Month,2002-04-01 00:00:00
Tim Duncan,San Antonio Spurs,West,April,2002,NBA Player Of The Month,2002-04-01 00:00:00
Ben Wallace,Detroit Pistons,East,March,2002,NBA Player Of The Month,2002-03-01 00:00:00
Shawn Marion,Phoenix Suns,West,March,2002,NBA Player Of The Month,2002-03-01 00:00:00
Tracy McGrady,Orlando Magic,East,February,2002,NBA Player Of The Month,2002-02-01 00:00:00
Kevin Garnett,Minnesota Timberwolves,West,February,2002,NBA Player Of The Month,2002-02-01 00:00:00
Allen Iverson,Philadelphia Sixers,East,January,2002,NBA Player Of The Month,2002-01-01 00:00:00
Chris Webber,Sacramento Kings,West,January,2002,NBA Player Of The Month,2002-01-01 00:00:00
Paul Pierce,Boston Celtics,East,December,2002,NBA Player Of The Month,2002-12-01 00:00:00
Antoine Walker,Boston Celtics,East,December,2002,NBA Player Of The Month,2002-12-01 00:00:00
Tim Duncan,San Antonio Spurs,West,December,2002,NBA Player Of The Month,2002-12-01 00:00:00
Jason Kidd,New Jersey Nets,East,November,2002,NBA Player Of The Month,2002-11-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,November,2002,NBA Player Of The Month,2002-11-01 00:00:00
Jermaine O'Neal,Indiana Pacers,East,April,2003,NBA Player Of The Month,2003-04-01 00:00:00
Kevin Garnett,Minnesota Timberwolves,West,April,2003,NBA Player Of The Month,2003-04-01 00:00:00
Tracy McGrady,Orlando Magic,East,March,2003,NBA Player Of The Month,2003-03-01 00:00:00
Shaquille O'Neal,Los Angeles Lakers,West,March,2003,NBA Player Of The Month,2003-03-01 00:00:00
Jamal Mashburn,New Orleans Hornets,East,February,2003,NBA Player Of The Month,2003-02-01 00:00:00
Kevin Garnett,Minnesota Timberwolves,West,February,2003,NBA Player Of The Month,2003-02-01 00:00:00
Jermaine O'Neal,Indiana Pacers,East,January,2003,NBA Player Of The Month,2003-01-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,January,2003,NBA Player Of The Month,2003-01-01 00:00:00
Jason Kidd,New Jersey Nets,East,December,2003,NBA Player Of The Month,2003-12-01 00:00:00
Chris Webber,Sacramento Kings,West,December,2003,NBA Player Of The Month,2003-12-01 00:00:00
Tracy McGrady,Orlando Magic,East,November,2003,NBA Player Of The Month,2003-11-01 00:00:00
Michael Finley,Dallas Mavericks,West,November,2003,NBA Player Of The Month,2003-11-01 00:00:00
Steve Nash,Dallas Mavericks,West,November,2003,NBA Player Of The Month,2003-11-01 00:00:00
Dirk Nowitzki,Dallas Mavericks,West,November,2003,NBA Player Of The Month,2003-11-01 00:00:00
Jamaal Magloire,New Orleans Hornets,East,April,2004,NBA Player Of The Month,2004-04-01 00:00:00
Kevin Garnett,Minnesota Timberwolves,West,April,2004,NBA Player Of The Month,2004-04-01 00:00:00
Lamar Odom,Miami Heat,East,March,2004,NBA Player Of The Month,2004-03-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,March,2004,NBA Player Of The Month,2004-03-01 00:00:00
Kenyon Martin,New Jersey Nets,East,February,2004,NBA Player Of The Month,2004-02-01 00:00:00
Kevin Garnett,Minnesota Timberwolves,West,February,2004,NBA Player Of The Month,2004-02-01 00:00:00
Michael Redd,Milwaukee Bucks,East,January,2004,NBA Player Of The Month,2004-01-01 00:00:00
Kevin Garnett,Minnesota Timberwolves,West,January,2004,NBA Player Of The Month,2004-01-01 00:00:00
Jermaine O'Neal,Indiana Pacers,East,December,2004,NBA Player Of The Month,2004-12-01 00:00:00
Kevin Garnett,Minnesota Timberwolves,West,December,2004,NBA Player Of The Month,2004-12-01 00:00:00
Baron Davis,New Orleans Hornets,East,November,2004,NBA Player Of The Month,2004-11-01 00:00:00
Peja Stojakovic,Sacramento Kings,West,November,2004,NBA Player Of The Month,2004-11-01 00:00:00
Allen Iverson,Philadelphia Sixers,East,April,2005,NBA Player Of The Month,2005-04-01 00:00:00
Amar'e Stoudemire,Phoenix Suns,West,April,2005,NBA Player Of The Month,2005-04-01 00:00:00
Shaquille O'Neal,Miami Heat,East,March,2005,NBA Player Of The Month,2005-03-01 00:00:00
Kevin Garnett,Minnesota Timberwolves,West,March,2005,NBA Player Of The Month,2005-03-01 00:00:00
Vince Carter,New Jersey Nets,East,February,2005,NBA Player Of The Month,2005-02-01 00:00:00
Dirk Nowitzki,Dallas Mavericks,West,February,2005,NBA Player Of The Month,2005-02-01 00:00:00
LeBron James,Cleveland Cavaliers,East,January,2005,NBA Player Of The Month,2005-01-01 00:00:00
Chris Webber,Sacramento Kings,West,January,2005,NBA Player Of The Month,2005-01-01 00:00:00
Dwyane Wade,Miami Heat,East,December,2005,NBA Player Of The Month,2005-12-01 00:00:00
Dirk Nowitzki,Dallas Mavericks,West,December,2005,NBA Player Of The Month,2005-12-01 00:00:00
LeBron James,Cleveland Cavaliers,East,November,2005,NBA Player Of The Month,2005-11-01 00:00:00
Steve Nash,Phoenix Suns,West,November,2005,NBA Player Of The Month,2005-11-01 00:00:00
Dwight Howard,Orlando Magic,East,April,2006,NBA Player Of The Month,2006-04-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,April,2006,NBA Player Of The Month,2006-04-01 00:00:00
LeBron James,Cleveland Cavaliers,East,March,2006,NBA Player Of The Month,2006-03-01 00:00:00
Carmelo Anthony,Denver Nuggets,West,March,2006,NBA Player Of The Month,2006-03-01 00:00:00
Dwyane Wade,Miami Heat,East,February,2006,NBA Player Of The Month,2006-02-01 00:00:00
Shawn Marion,Phoenix Suns,West,February,2006,NBA Player Of The Month,2006-02-01 00:00:00
Chauncey Billups,Detroit Pistons,East,January,2006,NBA Player Of The Month,2006-01-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,January,2006,NBA Player Of The Month,2006-01-01 00:00:00
Vince Carter,New Jersey Nets,East,December,2006,NBA Player Of The Month,2006-12-01 00:00:00
Dirk Nowitzki,Dallas Mavericks,West,December,2006,NBA Player Of The Month,2006-12-01 00:00:00
LeBron James,Cleveland Cavaliers,East,November,2006,NBA Player Of The Month,2006-11-01 00:00:00
Elton Brand,Los Angeles Clippers,West,November,2006,NBA Player Of The Month,2006-11-01 00:00:00
Vince Carter,New Jersey Nets,East,April,2007,NBA Player Of The Month,2007-04-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,April,2007,NBA Player Of The Month,2007-04-01 00:00:00
LeBron James,Cleveland Cavaliers,East,March,2007,NBA Player Of The Month,2007-03-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,March,2007,NBA Player Of The Month,2007-03-01 00:00:00
Chauncey Billups,Detroit Pistons,East,February,2007,NBA Player Of The Month,2007-02-01 00:00:00
Dirk Nowitzki,Dallas Mavericks,West,February,2007,NBA Player Of The Month,2007-02-01 00:00:00
Chris Bosh,Toronto Raptors,East,January,2007,NBA Player Of The Month,2007-01-01 00:00:00
Steve Nash,Phoenix Suns,West,January,2007,NBA Player Of The Month,2007-01-01 00:00:00
Gilbert Arenas,Washington Wizards,East,December,2007,NBA Player Of The Month,2007-12-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,December,2007,NBA Player Of The Month,2007-12-01 00:00:00
Dwight Howard,Orlando Magic,East,November,2007,NBA Player Of The Month,2007-11-01 00:00:00
Yao Ming,Houston Rockets,West,November,2007,NBA Player Of The Month,2007-11-01 00:00:00
Hedo Turkoglu,Orlando Magic,East,April,2008,NBA Player Of The Month,2008-04-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,April,2008,NBA Player Of The Month,2008-04-01 00:00:00
Joe Johnson,Atlanta Hawks,East,March,2008,NBA Player Of The Month,2008-03-01 00:00:00
Chris Paul,New Orleans Hornets,West,March,2008,NBA Player Of The Month,2008-03-01 00:00:00
LeBron James,Cleveland Cavaliers,East,February,2008,NBA Player Of The Month,2008-02-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,February,2008,NBA Player Of The Month,2008-02-01 00:00:00
LeBron James,Cleveland Cavaliers,East,January,2008,NBA Player Of The Month,2008-01-01 00:00:00
Yao Ming,Houston Rockets,West,January,2008,NBA Player Of The Month,2008-01-01 00:00:00
Dwight Howard,Orlando Magic,East,December,2008,NBA Player Of The Month,2008-12-01 00:00:00
Chris Paul,New Orleans Hornets,West,December,2008,NBA Player Of The Month,2008-12-01 00:00:00
Dwight Howard,Orlando Magic,East,November,2008,NBA Player Of The Month,2008-11-01 00:00:00
Carlos Boozer,Utah Jazz,West,November,2008,NBA Player Of The Month,2008-11-01 00:00:00
LeBron James,Cleveland Cavaliers,East,April,2009,NBA Player Of The Month,2009-04-01 00:00:00
Dirk Nowitzki,Dallas Mavericks,West,April,2009,NBA Player Of The Month,2009-04-01 00:00:00
LeBron James,Cleveland Cavaliers,East,March,2009,NBA Player Of The Month,2009-03-01 00:00:00
Chris Paul,New Orleans Hornets,West,March,2009,NBA Player Of The Month,2009-03-01 00:00:00
Dwyane Wade,Miami Heat,East,February,2009,NBA Player Of The Month,2009-02-01 00:00:00
Pau Gasol,Los Angeles Lakers,West,February,2009,NBA Player Of The Month,2009-02-01 00:00:00
LeBron James,Cleveland Cavaliers,East,January,2009,NBA Player Of The Month,2009-01-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,January,2009,NBA Player Of The Month,2009-01-01 00:00:00
Dwyane Wade,Miami Heat,East,December,2009,NBA Player Of The Month,2009-12-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,December,2009,NBA Player Of The Month,2009-12-01 00:00:00
LeBron James,Cleveland Cavaliers,East,November,2009,NBA Player Of The Month,2009-11-01 00:00:00
Chris Paul,New Orleans Hornets,West,November,2009,NBA Player Of The Month,2009-11-01 00:00:00
Derrick Rose,Chicago Bulls,East,April,2010,NBA Player Of The Month,2010-04-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,April,2010,NBA Player Of The Month,2010-04-01 00:00:00
Dwyane Wade,Miami Heat,East,March,2010,NBA Player Of The Month,2010-03-01 00:00:00
Amar'e Stoudemire,Phoenix Suns,West,March,2010,NBA Player Of The Month,2010-03-01 00:00:00
LeBron James,Cleveland Cavaliers,East,February,2010,NBA Player Of The Month,2010-02-01 00:00:00
Carlos Boozer,Utah Jazz,West,February,2010,NBA Player Of The Month,2010-02-01 00:00:00
LeBron James,Cleveland Cavaliers,East,January,2010,NBA Player Of The Month,2010-01-01 00:00:00
Chris Paul,New Orleans Hornets,West,January,2010,NBA Player Of The Month,2010-01-01 00:00:00
LeBron James,Cleveland Cavaliers,East,December,2010,NBA Player Of The Month,2010-12-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,December,2010,NBA Player Of The Month,2010-12-01 00:00:00
LeBron James,Cleveland Cavaliers,East,November,2010,NBA Player Of The Month,2010-11-01 00:00:00
Carmelo Anthony,Denver Nuggets,West,November,2010,NBA Player Of The Month,2010-11-01 00:00:00
LeBron James,Miami Heat,East,April,2011,NBA Player Of The Month,2011-04-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,April,2011,NBA Player Of The Month,2011-04-01 00:00:00
Derrick Rose,Chicago Bulls,East,March,2011,NBA Player Of The Month,2011-03-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,March,2011,NBA Player Of The Month,2011-03-01 00:00:00
Dwight Howard,Orlando Magic,East,February,2011,NBA Player Of The Month,2011-02-01 00:00:00
LaMarcus Aldridge,Portland Trail Blazers,West,February,2011,NBA Player Of The Month,2011-02-01 00:00:00
LeBron James,Miami Heat,East,January,2011,NBA Player Of The Month,2011-01-01 00:00:00
Zach Randolph,Memphis Grizzlies,West,January,2011,NBA Player Of The Month,2011-01-01 00:00:00
LeBron James,Miami Heat,East,December,2011,NBA Player Of The Month,2011-12-01 00:00:00
Dwyane Wade,Miami Heat,East,December,2011,NBA Player Of The Month,2011-12-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,December,2011,NBA Player Of The Month,2011-12-01 00:00:00
Dwight Howard,Orlando Magic,East,November,2011,NBA Player Of The Month,2011-11-01 00:00:00
Deron Williams,Utah Jazz,West,November,2011,NBA Player Of The Month,2011-11-01 00:00:00
Carmelo Anthony,New York Knicks,East,April,2012,NBA Player Of The Month,2012-04-01 00:00:00
Chris Paul,Los Angeles Clippers,West,April,2012,NBA Player Of The Month,2012-04-01 00:00:00
Paul Pierce,Boston Celtics,East,March,2012,NBA Player Of The Month,2012-03-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,March,2012,NBA Player Of The Month,2012-03-01 00:00:00
LeBron James,Miami Heat,East,February,2012,NBA Player Of The Month,2012-02-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,February,2012,NBA Player Of The Month,2012-02-01 00:00:00
LeBron James,Miami Heat,East,January,2012,NBA Player Of The Month,2012-01-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,January,2012,NBA Player Of The Month,2012-01-01 00:00:00
Carmelo Anthony,New York Knicks,East,April,2013,NBA Player Of The Month,2013-04-01 00:00:00
Stephen Curry,Golden State Warriors,West,April,2013,NBA Player Of The Month,2013-04-01 00:00:00
LeBron James,Miami Heat,East,March,2013,NBA Player Of The Month,2013-03-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,March,2013,NBA Player Of The Month,2013-03-01 00:00:00
LeBron James,Miami Heat,East,February,2013,NBA Player Of The Month,2013-02-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,February,2013,NBA Player Of The Month,2013-02-01 00:00:00
LeBron James,Miami Heat,East,January,2013,NBA Player Of The Month,2013-01-01 00:00:00
Tony Parker,San Antonio Spurs,West,January,2013,NBA Player Of The Month,2013-01-01 00:00:00
LeBron James,Miami Heat,East,December,2013,NBA Player Of The Month,2013-12-01 00:00:00
Chris Paul,Los Angeles Clippers,West,December,2013,NBA Player Of The Month,2013-12-01 00:00:00
LeBron James,Miami Heat,East,November,2013,NBA Player Of The Month,2013-11-01 00:00:00
