Player,Team,Conference,Month,Year,Award,in
Paul Pierce,Boston Celtics,East,"Apr 7, 2002",2002,NBA Player Of The Week,2002-04-07
Tim Duncan,San Antonio Spurs,West,"Apr 7, 2002",2002,NBA Player Of The Week,2002-04-07
Ben Wallace,Detroit Pistons,East,"Mar 31, 2002",2002,NBA Player Of The Week,2002-03-31
Shawn Marion,Phoenix Suns,West,"Mar 31, 2002",2002,NBA Player Of The Week,2002-03-31
Jason Kidd,New Jersey Nets,East,"Mar 24, 2002",2002,NBA Player Of The Week,2002-03-24
Tim Duncan,San Antonio Spurs,West,"Mar 24, 2002",2002,NBA Player Of The Week,2002-03-24
Tracy McGrady,Orlando Magic,East,"Mar 17, 2002",2002,NBA Player Of The Week,2002-03-17
Tim Duncan,San Antonio Spurs,West,"Mar 17, 2002",2002,NBA Player Of The Week,2002-03-17
Kurt Thomas,New York Knicks,East,"Mar 10, 2002",2002,NBA Player Of The Week,2002-03-10
Shaquille O'Neal,Los Angeles Lakers,West,"Mar 10, 2002",2002,NBA Player Of The Week,2002-03-10
Allen Iverson,Philadelphia Sixers,East,"Mar 3, 2002",2002,NBA Player Of The Week,2002-03-03
Rasheed Wallace,Portland Trail Blazers,West,"Mar 3, 2002",2002,NBA Player Of The Week,2002-03-03
Ben Wallace,Detroit Pistons,East,"Feb 24, 2002",2002,NBA Player Of The Week,2002-02-24
Shaquille O'Neal,Los Angeles Lakers,West,"Feb 24, 2002",2002,NBA Player Of The Week,2002-02-24
Andre Miller,Cleveland Cavaliers,East,"Feb 17, 2002",2002,NBA Player Of The Week,2002-02-17
Karl Malone,Utah Jazz,West,"Feb 17, 2002",2002,NBA Player Of The Week,2002-02-17
Jason Kidd,New Jersey Nets,East,"Feb 3, 2002",2002,NBA Player Of The Week,2002-02-03
Shaquille O'Neal,Los Angeles Lakers,West,"Feb 3, 2002",2002,NBA Player Of The Week,2002-02-03
Allen Iverson,Philadelphia Sixers,East,"Jan 27, 2002",2002,NBA Player Of The Week,2002-01-27
Dirk Nowitzki,Dallas Mavericks,West,"Jan 27, 2002",2002,NBA Player Of The Week,2002-01-27
Allen Iverson,Philadelphia Sixers,East,"Jan 20, 2002",2002,NBA Player Of The Week,2002-01-20
Kobe Bryant,Los Angeles Lakers,West,"Jan 20, 2002",2002,NBA Player Of The Week,2002-01-20
Ray Allen,Milwaukee Bucks,East,"Jan 13, 2002",2002,NBA Player Of The Week,2002-01-13
Kevin Garnett,Minnesota Timberwolves,West,"Jan 13, 2002",2002,NBA Player Of The Week,2002-01-13
Eddie Jones,Miami Heat,East,"Jan 6, 2002",2002,NBA Player Of The Week,2002-01-06
Chris Webber,Sacramento Kings,West,"Jan 6, 2002",2002,NBA Player Of The Week,2002-01-06
Jason Kidd,New Jersey Nets,East,"Dec 30, 2001",2002,NBA Player Of The Week,2001-12-30
Tim Duncan,San Antonio Spurs,West,"Dec 30, 2001",2002,NBA Player Of The Week,2001-12-30
Jermaine O'Neal,Indiana Pacers,East,"Dec 23, 2001",2002,NBA Player Of The Week,2001-12-23
Gary Payton,Seattle SuperSonics,West,"Dec 23, 2001",2002,NBA Player Of The Week,2001-12-23
Richard Hamilton,Washington Wizards,East,"Dec 16, 2001",2002,NBA Player Of The Week,2001-12-16
