Player,Team,Conference,Month,Year,Award
Paul Pierce,Boston Celtics,East,April,2002,NBA Player Of The Month
Tim Duncan,San Antonio Spurs,West,April,2002,NBA Player Of The Month
Ben Wallace,Detroit Pistons,East,March,2002,NBA Player Of The Month
Shawn Marion,Phoenix Suns,West,March,2002,NBA Player Of The Month
Tracy McGrady,Orlando Magic,East,February,2002,NBA Player Of The Month
Kevin Garnett,Minnesota Timberwolves,West,February,2002,NBA Player Of The Month
Allen Iverson,Philadelphia Sixers,East,January,2002,NBA Player Of The Month
Chris Webber,Sacramento Kings,West,January,2002,NBA Player Of The Month
Paul Pierce,Boston Celtics,East,December,2002,NBA Player Of The Month
Antoine Walker,Boston Celtics,East,December,2002,NBA Player Of The Month
Tim Duncan,San Antonio Spurs,West,December,2002,NBA Player Of The Month
Jason Kidd,New Jersey Nets,East,November,2002,NBA Player Of The Month
Kobe Bryant,Los Angeles Lakers,West,November,2002,NBA Player Of The Month
Jermaine O'Neal,Indiana Pacers,East,April,2003,NBA Player Of The Month
Kevin Garnett,Minnesota Timberwolves,West,April,2003,NBA Player Of The Month
Tracy McGrady,Orlando Magic,East,March,2003,NBA Player Of The Month
Shaquille O'Neal,Los Angeles Lakers,West,March,2003,NBA Player Of The Month
Jamal Mashburn,New Orleans Hornets,East,February,2003,NBA Player Of The Month
Kevin Garnett,Minnesota Timberwolves,West,February,2003,NBA Player Of The Month
Jermaine O'Neal,Indiana Pacers,East,January,2003,NBA Player Of The Month
Kobe Bryant,Los Angeles Lakers,West,January,2003,NBA Player Of The Month
Jason Kidd,New Jersey Nets,East,December,2003,NBA Player Of The Month
Chris Webber,Sacramento Kings,West,December,2003,NBA Player Of The Month
Tracy McGrady,Orlando Magic,East,November,2003,NBA Player Of The Month
Michael Finley,Dallas Mavericks,West,November,2003,NBA Player Of The Month
Steve Nash,Dallas Mavericks,West,November,2003,NBA Player Of The Month
Dirk Nowitzki,Dallas Mavericks,West,November,2003,NBA Player Of The Month
Jamaal Magloire,New Orleans Hornets,East,April,2004,NBA Player Of The Month
Kevin Garnett,Minnesota Timberwolves,West,April,2004,NBA Player Of The Month
Lamar Odom,Miami Heat,East,March,2004,NBA Player Of The Month
Kobe Bryant,Los Angeles Lakers,West,March,2004,NBA Player Of The Month
Kenyon Martin,New Jersey Nets,East,February,2004,NBA Player Of The Month
Kevin Garnett,Minnesota Timberwolves,West,February,2004,NBA Player Of The Month
Michael Redd,Milwaukee Bucks,East,January,2004,NBA Player Of The Month
Kevin Garnett,Minnesota Timberwolves,West,January,2004,NBA Player Of The Month
Jermaine O'Neal,Indiana Pacers,East,December,2004,NBA Player Of The Month
Kevin Garnett,Minnesota Timberwolves,West,December,2004,NBA Player Of The Month
Baron Davis,New Orleans Hornets,East,November,2004,NBA Player Of The Month
Peja Stojakovic,Sacramento Kings,West,November,2004,NBA Player Of The Month
Allen Iverson,Philadelphia Sixers,East,April,2005,NBA Player Of The Month
Amar'e Stoudemire,Phoenix Suns,West,April,2005,NBA Player Of The Month
Shaquille O'Neal,Miami Heat,East,March,2005,NBA Player Of The Month
Kevin Garnett,Minnesota Timberwolves,West,March,2005,NBA Player Of The Month
Vince Carter,New Jersey Nets,East,February,2005,NBA Player Of The Month
Dirk Nowitzki,Dallas Mavericks,West,February,2005,NBA Player Of The Month
