Player,Team,Conference,Month,Year,Award
Paul Pierce,Boston Celtics,East,"Apr 7, 2002",2002,NBA Player Of The Week
Tim Duncan,San Antonio Spurs,West,"Apr 7, 2002",2002,NBA Player Of The Week
Ben Wallace,Detroit Pistons,East,"Mar 31, 2002",2002,NBA Player Of The Week
Shawn Marion,Phoenix Suns,West,"Mar 31, 2002",2002,NBA Player Of The Week
Jason Kidd,New Jersey Nets,East,"Mar 24, 2002",2002,NBA Player Of The Week
Tim Duncan,San Antonio Spurs,West,"Mar 24, 2002",2002,NBA Player Of The Week
Tracy McGrady,Orlando Magic,East,"Mar 17, 2002",2002,NBA Player Of The Week
Tim Duncan,San Antonio Spurs,West,"Mar 17, 2002",2002,NBA Player Of The Week
Kurt Thomas,New York Knicks,East,"Mar 10, 2002",2002,NBA Player Of The Week
Shaquille O'Neal,Los Angeles Lakers,West,"Mar 10, 2002",2002,NBA Player Of The Week
Allen Iverson,Philadelphia Sixers,East,"Mar 3, 2002",2002,NBA Player Of The Week
Rasheed Wallace,Portland Trail Blazers,West,"Mar 3, 2002",2002,NBA Player Of The Week
Ben Wallace,Detroit Pistons,East,"Feb 24, 2002",2002,NBA Player Of The Week
Shaquille O'Neal,Los Angeles Lakers,West,"Feb 24, 2002",2002,NBA Player Of The Week
Andre Miller,Cleveland Cavaliers,East,"Feb 17, 2002",2002,NBA Player Of The Week
Karl Malone,Utah Jazz,West,"Feb 17, 2002",2002,NBA Player Of The Week
Jason Kidd,New Jersey Nets,East,"Feb 3, 2002",2002,NBA Player Of The Week
Shaquille O'Neal,Los Angeles Lakers,West,"Feb 3, 2002",2002,NBA Player Of The Week
Allen Iverson,Philadelphia Sixers,East,"Jan 27, 2002",2002,NBA Player Of The Week
Dirk Nowitzki,Dallas Mavericks,West,"Jan 27, 2002",2002,NBA Player Of The Week
Allen Iverson,Philadelphia Sixers,East,"Jan 20, 2002",2002,NBA Player Of The Week
Kobe Bryant,Los Angeles Lakers,West,"Jan 20, 2002",2002,NBA Player Of The Week
Ray Allen,Milwaukee Bucks,East,"Jan 13, 2002",2002,NBA Player Of The Week
Kevin Garnett,Minnesota Timberwolves,West,"Jan 13, 2002",2002,NBA Player Of The Week
Eddie Jones,Miami Heat,East,"Jan 6, 2002",2002,NBA Player Of The Week
Chris Webber,Sacramento Kings,West,"Jan 6, 2002",2002,NBA Player Of The Week
Jason Kidd,New Jersey Nets,East,"Dec 30, 2001",2002,NBA Player Of The Week
Tim Duncan,San Antonio Spurs,West,"Dec 30, 2001",2002,NBA Player Of The Week
Jermaine O'Neal,Indiana Pacers,East,"Dec 23, 2001",2002,NBA Player Of The Week
Gary Payton,Seattle SuperSonics,West,"Dec 23, 2001",2002,NBA Player Of The Week
Richard Hamilton,Washington Wizards,East,"Dec 16, 2001",2002,NBA Player Of The Week
Steve Nash,Dallas Mavericks,West,"Dec 16, 2001",2002,NBA Player Of The Week
Andre Miller,Cleveland Cavaliers,East,"Dec 9, 2001",2002,NBA Player Of The Week
Elton Brand,Los Angeles Clippers,West,"Dec 9, 2001",2002,NBA Player Of The Week
Paul Pierce,Boston Celtics,East,"Dec 2, 2001",2002,NBA Player Of The Week
Stephon Marbury,Phoenix Suns,West,"Dec 2, 2001",2002,NBA Player Of The Week
Shareef Abdur-Rahim,Atlanta Hawks,East,"Nov 25, 2001",2002,NBA Player Of The Week
Tim Duncan,San Antonio Spurs,West,"Nov 25, 2001",2002,NBA Player Of The Week
Allen Iverson,Philadelphia Sixers,East,"Nov 18, 2001",2002,NBA Player Of The Week
Kevin Garnett,Minnesota Timberwolves,West,"Nov 18, 2001",2002,NBA Player Of The Week
Vince Carter,Toronto Raptors,East,"Nov 11, 2001",2002,NBA Player Of The Week
Tim Duncan,San Antonio Spurs,West,"Nov 11, 2001",2002,NBA Player Of The Week
Ray Allen,Milwaukee Bucks,East,"Nov 4, 2001",2002,NBA Player Of The Week
Kobe Bryant,Los Angeles Lakers,West,"Nov 4, 2001",2002,NBA Player Of The Week
Tracy McGrady,Orlando Magic,East,"Apr 13, 2003",2003,NBA Player Of The Week
Shawn Marion,Phoenix Suns,West,"Apr 13, 2003",2003,NBA Player Of The Week
Jason Kidd,New Jersey Nets,East,"Apr 6, 2003",2003,NBA Player Of The Week
Shaquille O'Neal,Los Angeles Lakers,West,"Apr 6, 2003",2003,NBA Player Of The Week
Richard Jefferson,New Jersey Nets,East,"Mar 30, 2003",2003,NBA Player Of The Week
Tim Duncan,San Antonio Spurs,West,"Mar 30, 2003",2003,NBA Player Of The Week
Ben Wallace,Detroit Pistons,East,"Mar 23, 2003",2003,NBA Player Of The Week
Peja Stojakovic,Sacramento Kings,West,"Mar 23, 2003",2003,NBA Player Of The Week
Allen Iverson,Philadelphia Sixers,East,"Mar 16, 2003",2003,NBA Player Of The Week
Steve Francis,Houston Rockets,West,"Mar 16, 2003",2003,NBA Player Of The Week
Tracy McGrady,Orlando Magic,East,"Mar 9, 2003",2003,NBA Player Of The Week
Shaquille O'Neal,Los Angeles Lakers,West,"Mar 9, 2003",2003,NBA Player Of The Week
