full_name,ID,player,Contracts
Boniface N'Dong,https://basketball.realgm.com/player/Boniface-N'Dong/summary/1013,http://www.wikidata.org/entity/Q65594,Unrestricted Free Agent
Tim Ohlbrecht,https://basketball.realgm.com/player/Tim-Ohlbrecht/summary/2414,http://www.wikidata.org/entity/Q70486,Unrestricted Free Agent
José Calderón,https://basketball.realgm.com/player/José-Calderón/summary/794,http://www.wikidata.org/entity/Q316106,Unrestricted Free Agent
Oscar Robertson,https://basketball.realgm.com/player/Oscar-Robertson/summary/65962,http://www.wikidata.org/entity/Q17717,Unrestricted Free Agent
Dwight Howard,https://basketball.realgm.com/player/Dwight-Howard/summary/376,http://www.wikidata.org/entity/Q25278,Unrestricted Free Agent (Los Angeles Lakers)
Kobe Bryant,https://basketball.realgm.com/player/Kobe-Bryant/summary/613,http://www.wikidata.org/entity/Q25369,Unrestricted Free Agent
Kevin Durant,https://basketball.realgm.com/player/Kevin-Durant/summary/34,http://www.wikidata.org/entity/Q29545,Under Contract (Phoenix Suns)
LeBron James,https://basketball.realgm.com/player/LeBron-James/summary/250,http://www.wikidata.org/entity/Q36159,Under Contract (Los Angeles Lakers)
Michael Jordan,https://basketball.realgm.com/player/Michael-Jordan/summary/1192,http://www.wikidata.org/entity/Q41421,Unrestricted Free Agent
Festus Ezeli,https://basketball.realgm.com/player/Festus-Ezeli/summary/5962,http://www.wikidata.org/entity/Q48842,Unrestricted Free Agent
Chris Paul,https://basketball.realgm.com/player/Chris-Paul/summary/61,http://www.wikidata.org/entity/Q46040,Under Contract (Phoenix Suns)
Yao Ming,https://basketball.realgm.com/player/Yao-Ming/summary/177,http://www.wikidata.org/entity/Q58590,Unrestricted Free Agent
Vlade Divac,https://basketball.realgm.com/player/Vlade-Divac/summary/1109,http://www.wikidata.org/entity/Q94846,Unrestricted Free Agent
Ronny Turiaf,https://basketball.realgm.com/player/Ronny-Turiaf/summary/130,http://www.wikidata.org/entity/Q116551,Unrestricted Free Agent
Danny Ferry,https://basketball.realgm.com/player/Danny-Ferry/summary/658,http://www.wikidata.org/entity/Q150327,Unrestricted Free Agent
Johnny Rogers,https://basketball.realgm.com/player/Johnny-Rogers/summary/50948,http://www.wikidata.org/entity/Q163754,Unrestricted Free Agent
Metta Sandiford-Artest,https://basketball.realgm.com/player/Metta-Sandiford-Artest/summary/540,http://www.wikidata.org/entity/Q295322,Current Team: South Bay Lakers
Chauncey Billups,https://basketball.realgm.com/player/Chauncey-Billups/summary/197,http://www.wikidata.org/entity/Q298531,Unrestricted Free Agent
