Player,Team,Conference,Month,Year,in,Award
Zeljko Rebraca,Detroit Pistons,East,April,2002,2002-04-01 00:00:00,NBA Rookie Of The Month
Gilbert Arenas,Golden State Warriors,West,April,2002,2002-04-01 00:00:00,NBA Rookie Of The Month
Jamaal Tinsley,Indiana Pacers,East,March,2002,2002-03-01 00:00:00,NBA Rookie Of The Month
Pau Gasol,Memphis Grizzlies,West,March,2002,2002-03-01 00:00:00,NBA Rookie Of The Month
Trenton Hassell,Chicago Bulls,East,February,2002,2002-02-01 00:00:00,NBA Rookie Of The Month
Jason Richardson,Golden State Warriors,West,February,2002,2002-02-01 00:00:00,NBA Rookie Of The Month
Richard Jefferson,New Jersey Nets,East,January,2002,2002-01-01 00:00:00,NBA Rookie Of The Month
Pau Gasol,Memphis Grizzlies,West,January,2002,2002-01-01 00:00:00,NBA Rookie Of The Month
Brendan Haywood,Washington Wizards,East,December,2002,2002-12-01 00:00:00,NBA Rookie Of The Month
Shane Battier,Memphis Grizzlies,West,December,2002,2002-12-01 00:00:00,NBA Rookie Of The Month
Jamaal Tinsley,Indiana Pacers,East,November,2002,2002-11-01 00:00:00,NBA Rookie Of The Month
Pau Gasol,Memphis Grizzlies,West,November,2002,2002-11-01 00:00:00,NBA Rookie Of The Month
Carlos Boozer,Cleveland Cavaliers,East,April,2003,2003-04-01 00:00:00,NBA Rookie Of The Month
Amar'e Stoudemire,Phoenix Suns,West,April,2003,2003-04-01 00:00:00,NBA Rookie Of The Month
Caron Butler,Miami Heat,East,March,2003,2003-03-01 00:00:00,NBA Rookie Of The Month
Manu Ginobili,San Antonio Spurs,West,March,2003,2003-03-01 00:00:00,NBA Rookie Of The Month
Caron Butler,Miami Heat,East,February,2003,2003-02-01 00:00:00,NBA Rookie Of The Month
Yao Ming,Houston Rockets,West,February,2003,2003-02-01 00:00:00,NBA Rookie Of The Month
Caron Butler,Miami Heat,East,January,2003,2003-01-01 00:00:00,NBA Rookie Of The Month
Amar'e Stoudemire,Phoenix Suns,West,January,2003,2003-01-01 00:00:00,NBA Rookie Of The Month
Jay Williams,Chicago Bulls,East,December,2003,2003-12-01 00:00:00,NBA Rookie Of The Month
Yao Ming,Houston Rockets,West,December,2003,2003-12-01 00:00:00,NBA Rookie Of The Month
Caron Butler,Miami Heat,East,November,2003,2003-11-01 00:00:00,NBA Rookie Of The Month
Drew Gooden,Memphis Grizzlies,West,November,2003,2003-11-01 00:00:00,NBA Rookie Of The Month
LeBron James,Cleveland Cavaliers,East,April,2004,2004-04-01 00:00:00,NBA Rookie Of The Month
Carmelo Anthony,Denver Nuggets,West,April,2004,2004-04-01 00:00:00,NBA Rookie Of The Month
LeBron James,Cleveland Cavaliers,East,March,2004,2004-03-01 00:00:00,NBA Rookie Of The Month
Carmelo Anthony,Denver Nuggets,West,March,2004,2004-03-01 00:00:00,NBA Rookie Of The Month
LeBron James,Cleveland Cavaliers,East,February,2004,2004-02-01 00:00:00,NBA Rookie Of The Month
Carmelo Anthony,Denver Nuggets,West,February,2004,2004-02-01 00:00:00,NBA Rookie Of The Month
LeBron James,Cleveland Cavaliers,East,January,2004,2004-01-01 00:00:00,NBA Rookie Of The Month
Carmelo Anthony,Denver Nuggets,West,January,2004,2004-01-01 00:00:00,NBA Rookie Of The Month
LeBron James,Cleveland Cavaliers,East,December,2004,2004-12-01 00:00:00,NBA Rookie Of The Month
Carmelo Anthony,Denver Nuggets,West,December,2004,2004-12-01 00:00:00,NBA Rookie Of The Month
LeBron James,Cleveland Cavaliers,East,November,2004,2004-11-01 00:00:00,NBA Rookie Of The Month
Carmelo Anthony,Denver Nuggets,West,November,2004,2004-11-01 00:00:00,NBA Rookie Of The Month
Emeka Okafor,Charlotte Bobcats,East,April,2005,2005-04-01 00:00:00,NBA Rookie Of The Month
Shaun Livingston,Los Angeles Clippers,West,April,2005,2005-04-01 00:00:00,NBA Rookie Of The Month
Ben Gordon,Chicago Bulls,East,March,2005,2005-03-01 00:00:00,NBA Rookie Of The Month
J.R. Smith,New Orleans Hornets,West,March,2005,2005-03-01 00:00:00,NBA Rookie Of The Month
Ben Gordon,Chicago Bulls,East,February,2005,2005-02-01 00:00:00,NBA Rookie Of The Month
J.R. Smith,New Orleans Hornets,West,February,2005,2005-02-01 00:00:00,NBA Rookie Of The Month
Ben Gordon,Chicago Bulls,East,January,2005,2005-01-01 00:00:00,NBA Rookie Of The Month
J.R. Smith,New Orleans Hornets,West,January,2005,2005-01-01 00:00:00,NBA Rookie Of The Month
Emeka Okafor,Charlotte Bobcats,East,December,2005,2005-12-01 00:00:00,NBA Rookie Of The Month
Beno Udrih,San Antonio Spurs,West,December,2005,2005-12-01 00:00:00,NBA Rookie Of The Month
Emeka Okafor,Charlotte Bobcats,East,November,2005,2005-11-01 00:00:00,NBA Rookie Of The Month
Devin Harris,Dallas Mavericks,West,November,2005,2005-11-01 00:00:00,NBA Rookie Of The Month
Raymond Felton,Charlotte Bobcats,East,April,2006,2006-04-01 00:00:00,NBA Rookie Of The Month
Chris Paul,New Orleans Hornets,West,April,2006,2006-04-01 00:00:00,NBA Rookie Of The Month
Raymond Felton,Charlotte Bobcats,East,March,2006,2006-03-01 00:00:00,NBA Rookie Of The Month
Chris Paul,New Orleans Hornets,West,March,2006,2006-03-01 00:00:00,NBA Rookie Of The Month
Raymond Felton,Charlotte Bobcats,East,February,2006,2006-02-01 00:00:00,NBA Rookie Of The Month
Chris Paul,New Orleans Hornets,West,February,2006,2006-02-01 00:00:00,NBA Rookie Of The Month
