,Player,Team,Conference,Month,Year,Award
0,Gary Payton,Seattle SuperSonics,,April,2000,NBA Player Of The Month
1,Shaquille O'Neal,Los Angeles Lakers,,March,2000,NBA Player Of The Month
2,Shaquille O'Neal,Los Angeles Lakers,,February,2000,NBA Player Of The Month
3,Kevin Garnett,Minnesota Timberwolves,,January,2000,NBA Player Of The Month
4,Alonzo Mourning,Miami Heat,,December,2000,NBA Player Of The Month
5,Shaquille O'Neal,Los Angeles Lakers,,November,2000,NBA Player Of The Month
6,Shaquille O'Neal,Los Angeles Lakers,,April,2001,NBA Player Of The Month
7,Paul Pierce,Boston Celtics,,March,2001,NBA Player Of The Month
8,Tracy McGrady,Orlando Magic,,February,2001,NBA Player Of The Month
9,Allen Iverson,Philadelphia Sixers,,January,2001,NBA Player Of The Month
10,Kobe Bryant,Los Angeles Lakers,,December,2001,NBA Player Of The Month
11,Karl Malone,Utah Jazz,,November,2001,NBA Player Of The Month
12,Paul Pierce,Boston Celtics,East,April,2002,NBA Player Of The Month
13,Tim Duncan,San Antonio Spurs,West,April,2002,NBA Player Of The Month
14,Ben Wallace,Detroit Pistons,East,March,2002,NBA Player Of The Month
15,Shawn Marion,Phoenix Suns,West,March,2002,NBA Player Of The Month
16,Tracy McGrady,Orlando Magic,East,February,2002,NBA Player Of The Month
17,Kevin Garnett,Minnesota Timberwolves,West,February,2002,NBA Player Of The Month
18,Allen Iverson,Philadelphia Sixers,East,January,2002,NBA Player Of The Month
19,Chris Webber,Sacramento Kings,West,January,2002,NBA Player Of The Month
20,Paul Pierce,Boston Celtics,East,December,2002,NBA Player Of The Month
21,Antoine Walker,Boston Celtics,East,December,2002,NBA Player Of The Month
22,Tim Duncan,San Antonio Spurs,West,December,2002,NBA Player Of The Month
23,Jason Kidd,New Jersey Nets,East,November,2002,NBA Player Of The Month
24,Kobe Bryant,Los Angeles Lakers,West,November,2002,NBA Player Of The Month
25,Jermaine O'Neal,Indiana Pacers,East,April,2003,NBA Player Of The Month
26,Kevin Garnett,Minnesota Timberwolves,West,April,2003,NBA Player Of The Month
27,Tracy McGrady,Orlando Magic,East,March,2003,NBA Player Of The Month
28,Shaquille O'Neal,Los Angeles Lakers,West,March,2003,NBA Player Of The Month
29,Jamal Mashburn,New Orleans Hornets,East,February,2003,NBA Player Of The Month
30,Kevin Garnett,Minnesota Timberwolves,West,February,2003,NBA Player Of The Month
31,Jermaine O'Neal,Indiana Pacers,East,January,2003,NBA Player Of The Month
32,Kobe Bryant,Los Angeles Lakers,West,January,2003,NBA Player Of The Month
33,Jason Kidd,New Jersey Nets,East,December,2003,NBA Player Of The Month
34,Chris Webber,Sacramento Kings,West,December,2003,NBA Player Of The Month
35,Tracy McGrady,Orlando Magic,East,November,2003,NBA Player Of The Month
36,Michael Finley,Dallas Mavericks,West,November,2003,NBA Player Of The Month
