,Player,Team,Conference,Month,Year,Award
0,Kobe Bryant,Los Angeles Lakers,,"Apr 17, 2000",2000,NBA Player Of The Week
1,Alonzo Mourning,Miami Heat,,"Apr 10, 2000",2000,NBA Player Of The Week
2,Tim Duncan,San Antonio Spurs,,"Apr 3, 2000",2000,NBA Player Of The Week
3,Kevin Garnett,Minnesota Timberwolves,,"Mar 27, 2000",2000,NBA Player Of The Week
4,Jalen Rose,Indiana Pacers,,"Mar 20, 2000",2000,NBA Player Of The Week
5,Shaquille O'Neal,Los Angeles Lakers,,"Mar 13, 2000",2000,NBA Player Of The Week
6,Karl Malone,Utah Jazz,,"Mar 6, 2000",2000,NBA Player Of The Week
7,Vince Carter,Toronto Raptors,,"Feb 28, 2000",2000,NBA Player Of The Week
8,Shaquille O'Neal,Los Angeles Lakers,,"Feb 22, 2000",2000,NBA Player Of The Week
9,Michael Finley,Dallas Mavericks,,"Feb 7, 2000",2000,NBA Player Of The Week
10,Dikembe Mutombo,Atlanta Hawks,,"Jan 31, 2000",2000,NBA Player Of The Week
11,Steve Francis,Houston Rockets,,"Jan 24, 2000",2000,NBA Player Of The Week
12,Chris Webber,Sacramento Kings,,"Jan 17, 2000",2000,NBA Player Of The Week
13,Grant Hill,Detroit Pistons,,"Jan 10, 2000",2000,NBA Player Of The Week
14,Chris Webber,Sacramento Kings,,"Jan 3, 2000",2000,NBA Player Of The Week
15,Kevin Garnett,Minnesota Timberwolves,,"Dec 27, 1999",2000,NBA Player Of The Week
16,Jason Kidd,Phoenix Suns,,"Dec 20, 1999",2000,NBA Player Of The Week
17,Alonzo Mourning,Miami Heat,,"Dec 13, 1999",2000,NBA Player Of The Week
18,Shaquille O'Neal,Los Angeles Lakers,,"Dec 5, 1999",2000,NBA Player Of The Week
19,Tim Duncan,San Antonio Spurs,,"Nov 28, 1999",2000,NBA Player Of The Week
20,Vince Carter,Toronto Raptors,,"Nov 21, 1999",2000,NBA Player Of The Week
21,Kevin Garnett,Minnesota Timberwolves,,"Nov 14, 1999",2000,NBA Player Of The Week
22,Sam Cassell,Milwaukee Bucks,,"Nov 7, 1999",2000,NBA Player Of The Week
23,Ray Allen,Milwaukee Bucks,,"Apr 15, 2001",2001,NBA Player Of The Week
24,Shaquille O'Neal,Los Angeles Lakers,,"Apr 8, 2001",2001,NBA Player Of The Week
25,Jason Kidd,Phoenix Suns,,"Apr 1, 2001",2001,NBA Player Of The Week
26,Paul Pierce,Boston Celtics,,"Mar 25, 2001",2001,NBA Player Of The Week
27,Cuttino Mobley,Houston Rockets,,"Mar 18, 2001",2001,NBA Player Of The Week
28,Derek Anderson,San Antonio Spurs,,"Mar 11, 2001",2001,NBA Player Of The Week
29,Vince Carter,Toronto Raptors,,"Mar 4, 2001",2001,NBA Player Of The Week
30,Shawn Marion,Phoenix Suns,,"Feb 25, 2001",2001,NBA Player Of The Week
31,Allen Iverson,Philadelphia Sixers,,"Feb 18, 2001",2001,NBA Player Of The Week
32,Darrell Armstrong,Orlando Magic,,"Feb 4, 2001",2001,NBA Player Of The Week
33,Tim Duncan,San Antonio Spurs,,"Jan 28, 2001",2001,NBA Player Of The Week
34,Chris Webber,Sacramento Kings,,"Jan 22, 2001",2001,NBA Player Of The Week
35,Steve Francis,Houston Rockets,,"Jan 14, 2001",2001,NBA Player Of The Week
36,Allen Iverson,Philadelphia Sixers,,"Jan 7, 2001",2001,NBA Player Of The Week
37,Aaron McKie,Philadelphia Sixers,,"Dec 31, 2000",2001,NBA Player Of The Week
38,Kobe Bryant,Los Angeles Lakers,,"Dec 24, 2000",2001,NBA Player Of The Week
39,Glenn Robinson,Milwaukee Bucks,,"Dec 17, 2000",2001,NBA Player Of The Week
40,Chris Webber,Sacramento Kings,,"Dec 10, 2000",2001,NBA Player Of The Week
41,Antonio McDyess,Denver Nuggets,,"Dec 3, 2000",2001,NBA Player Of The Week
42,Baron Davis,Charlotte Hornets,,"Nov 26, 2000",2001,NBA Player Of The Week
43,Kevin Garnett,Minnesota Timberwolves,,"Nov 19, 2000",2001,NBA Player Of The Week
44,Stephon Marbury,New Jersey Nets,,"Nov 12, 2000",2001,NBA Player Of The Week
45,Karl Malone,Utah Jazz,,"Nov 6, 2000",2001,NBA Player Of The Week
46,John Stockton,Utah Jazz,,"Nov 6, 2000",2001,NBA Player Of The Week
47,Paul Pierce,Boston Celtics,East,"Apr 7, 2002",2002,NBA Player Of The Week
48,Tim Duncan,San Antonio Spurs,West,"Apr 7, 2002",2002,NBA Player Of The Week
49,Ben Wallace,Detroit Pistons,East,"Mar 31, 2002",2002,NBA Player Of The Week
50,Shawn Marion,Phoenix Suns,West,"Mar 31, 2002",2002,NBA Player Of The Week
51,Jason Kidd,New Jersey Nets,East,"Mar 24, 2002",2002,NBA Player Of The Week
52,Tim Duncan,San Antonio Spurs,West,"Mar 24, 2002",2002,NBA Player Of The Week
53,Tracy McGrady,Orlando Magic,East,"Mar 17, 2002",2002,NBA Player Of The Week
54,Tim Duncan,San Antonio Spurs,West,"Mar 17, 2002",2002,NBA Player Of The Week
55,Kurt Thomas,New York Knicks,East,"Mar 10, 2002",2002,NBA Player Of The Week
56,Shaquille O'Neal,Los Angeles Lakers,West,"Mar 10, 2002",2002,NBA Player Of The Week
57,Allen Iverson,Philadelphia Sixers,East,"Mar 3, 2002",2002,NBA Player Of The Week
58,Rasheed Wallace,Portland Trail Blazers,West,"Mar 3, 2002",2002,NBA Player Of The Week
59,Ben Wallace,Detroit Pistons,East,"Feb 24, 2002",2002,NBA Player Of The Week
60,Shaquille O'Neal,Los Angeles Lakers,West,"Feb 24, 2002",2002,NBA Player Of The Week
61,Andre Miller,Cleveland Cavaliers,East,"Feb 17, 2002",2002,NBA Player Of The Week
62,Karl Malone,Utah Jazz,West,"Feb 17, 2002",2002,NBA Player Of The Week
63,Jason Kidd,New Jersey Nets,East,"Feb 3, 2002",2002,NBA Player Of The Week
64,Shaquille O'Neal,Los Angeles Lakers,West,"Feb 3, 2002",2002,NBA Player Of The Week
65,Allen Iverson,Philadelphia Sixers,East,"Jan 27, 2002",2002,NBA Player Of The Week
66,Dirk Nowitzki,Dallas Mavericks,West,"Jan 27, 2002",2002,NBA Player Of The Week
67,Allen Iverson,Philadelphia Sixers,East,"Jan 20, 2002",2002,NBA Player Of The Week
68,Kobe Bryant,Los Angeles Lakers,West,"Jan 20, 2002",2002,NBA Player Of The Week
69,Ray Allen,Milwaukee Bucks,East,"Jan 13, 2002",2002,NBA Player Of The Week
